Thread ID,Comment
UgxkceJ0F6__Z3bjQNZ4AaABAg,"Can someone tell me, why MKBHD stopped reviewing Xiaomi products?"
UgxDjx9DXh_aYMqfKeJ4AaABAg,i bought fold 3 yesterday because of its way cheaper. its a good phone but any phone case looks bad with it
Ugw7CyPzykp7gd-6I0B4AaABAg,삼성 폰 많이 사주세요
UgwsOiu_uADVKO7jjUZ4AaABAg,It sucks Android can&#39;t handle certain DJ app like DJay Pro AI I would switch from Iphone but Android has audio mixing latency issue which they haven&#39;t fixed since 15 years ago.
UgwoIURLQ4SNKo82Gzt4AaABAg,How much is the z fold 5?
UgxrdcsnoD2T93PKvYd4AaABAg,Almost the same as last year? I’d say Samsung pulled off an apple ;)
Ugx0UOSHrGg0tO6iEWJ4AaABAg,One still can&#39;t use the outer screen like a normal phone on the Flip ?!!
UgxGBcOZlM3iCpUAnZl4AaABAg,What&#39;s your opinion about the new legal battle between apple and wiltech from Colombia? @marquesbrownlee
Ugydt0ntEHxnlrHMrzx4AaABAg,It&#39;s <b>Fold4 --&gt; Fold6</b> for me
UgwH2wJ6-cE0KgvgMkF4AaABAg,"I&#39;m puzzled by the issue with the cover screen on the Z Fold 5 phone. If you (becasue you&#39;re reviewing from your point of view) finds it narrow and difficult and spends around 85% of your time using the cover screen, why opt for a folding phone in the first place? Choosing a regular phone is a straightforward solution. As for me, I will be using the larger screen most of the time. Not everyone has 20/20 vision and need a larger phone that the size can be reduce when closed."
Ugyb-IuXQ4JcQa_6lC14AaABAg,Wanna see the videos in English again😢
Ugz8sRIqM_I0M5FtV0Z4AaABAg,"Can not recommend until they fix the screen protector. It bubbled and pealed in the crease after half a year. Now a year after purchase, a centimeter tall crease is white and hard to see through, full of dust. And you cannot remove or replace this yourself, it voids the warranty."
Ugxcr3337R_lvCvEUzt4AaABAg,It is actually dubbed to Portugues here
Ugzv5hc7ttYYNbdlkj54AaABAg,I’m getting the Flip 5 for free on an upgrade. My Android is my secondary device so I expect it’ll be around a few years.
UgwFQUZLtPGf1jH9M794AaABAg,"When I&#39;m done with my S23 Ultra, I will look to a Fold. I do like them."
UgwBZaYUYwzRokiQ1-d4AaABAg,"Still rocking 3rd gen, no reason to upgrade"
UgzkOWWPegBPzrYYcGZ4AaABAg,Lol
Ugx__4AXtpiqMckDOnd4AaABAg,Cool phones 😊🎧📱good video
UgzuYbYW5RnQXylssgB4AaABAg,Samsung can&#39;t make hotspot shortcut keys like others why??😅😅😅😅
UgxJZVF082gklc6hPcx4AaABAg,S pen should have been integrated.
Ugz6NhMUBI467Okwt3x4AaABAg,Why would I buy one of these?
Ugx12saoZbY3cvpcidh4AaABAg,I’m thinking bout switching my iPhone to this one Apple does the same crap every year smh
Ugzj_whm70XnQOY5CuB4AaABAg,I wish the fold was cheaper if the tech is getting better
UgwRSOCV-nNuG7YpYzB4AaABAg,"I hope you kee that same energy  when Apple releases the 15’s in September. Coming from an iPhone user since the OG in 2007.😮 Yes, I love apple for it’s “just works well” OS, but damn it’s boring after we get the same thing over and over, each year. Samsung at least pushes innovation, and releases it, even when it’s not fully cooked, but hey it’s at least pushing boundaries. Apple has such a hold on people with iMessage and FaceTime in the United States. It works well and I like it but is it always going to be enough to keep peoples attention? We shall see"
UgxAPu_LwbhR_6bZ8q94AaABAg,damn what a disappointment the Flip 5!!
Ugwd6R1Rkk9LL1ER6-54AaABAg,I JUST ORDERED THE FLIP 5!!! Was waiting for your review!!!!!
UgxXwVILdxpGHWYw0P54AaABAg,"The most beautiful is what is not there, what you have been waiting for and longing for for years<br>because dreams are the most beautiful in life ... their fairy-tale and colorful world,<br>when you live to see your dreams come true, they will not be like in a dream,<br>because the most beautiful desires in us are those that somewhere...<br>someday ... they are to come true, so let&#39;s wait for their fulfillment<br>to dream is to live and I dream about Samsung Z Fold 5 and I hope that my dream will come true because I fell in love with Z Fold 5."
Ugyt6q5cZWBChsZaHfp4AaABAg,I would love to get a z fold but im too far deep into the apple ecosystem
Ugx9ZAsU1OxhfsS2f_B4AaABAg,"Fold phones are fragile after 8 - 12 months of use....sont wast money, 600usd to replace screen"
UgxJ_Gjk4Iyqoa_9cTF4AaABAg,"Who wants to put a waffle shaped phone up to their ear, the fold is hands down the best form factor available right now"
UgxWLZSOlZ4hZIvHtAR4AaABAg,Hats a pretty rad shirt. Whats the meaning behind it?
Ugzt5dQT71a7VnBszuJ4AaABAg,So like Apple 🤭
UgwmWwjmBJnYg_MsYqF4AaABAg,A slot for the pen would have been impressive and innovative?<br><br>Ummm....OK 😂
UgxB3gfRqTbNMjHl_1N4AaABAg,Giveaway please bro 🙏🙏🙏❤❤🙏🙏🙏:)
Ugyz9tJIe8JRTk7WNzd4AaABAg,"With that tablet tag at the end, when will foldable tablets become more mainstream? Or am I just unaware? It seems like the logical use of the tech? Want a mini tablet for reading etc? And also a large tablet for media viewing? Boom foldable tablet."
UgxSbxQbUwK3kt_7c7h4AaABAg,"It is worth having these safe phones though - if all goes wrong with the market, at least we&#39;ll have a safe, reliable phone to use <br>I don&#39;t understand what i just said. This phone is boring 😢"
Ugybhfepw6PwGeQxUFN4AaABAg,small upgrade from last year?
